artist_id,artist_name,total_followers,genres,popularity
3Q2ya2vGeOhQ9CaF9wWNP6,Shane Filan,161123,"['irish pop', 'neo mellow']",55
6DiAVYfSzZi8h1fGuTD6LI,Jimmy Bondoc,444900,['opm'],47
6DgP9otnZw5z6daOntINxp,Joel Corry,340102,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",76
1W7FNibLa0O0b572tB2w7t,Pink Sweat$,1646508,"['bedroom soul', 'chill r&b', 'pop']",70
3QJUFtGBGL05vo0kCJZsmT,salem ilese,304702,['modern indie pop'],66
3wVXTWabe3viT0jF7DfjOL,Vedo,389109,"['pop r&b', 'pop rap', 'r&b']",63
3hB5x7E5sQzBHuG3xiqmUC,Logan Harris,2235,[],0
5R4HkjoZdxW3ZoVGC0e0qD,Julian Sean,34562,['opm'],41
3ID2V4b0oGSEbwPENAsdbG,Gagong Rapper,3444,[],0
6MPCFvOQv5cIGfw3jODMF0,Internet Money,710644,"['pop rap', 'rap', 'trap']",72
021sXp6RH5MQCCp2hmal6q,Jom,46208,"['opm', 'pinoy r&b']",46
3V0ZQW0dNuVaFtbVYgSI24,Claire Rosinkranz,357066,"['alt z', 'indie pop', 'modern indie pop', 'pop']",63
7MPGCB854Qo4alYMOPkBka,Ritt Momney,126299,"['bedroom pop', 'indie pop']",59
7dFzqx2qyelGPiBKmdSEOT,Rob Deniel,181240,"['opm', 'p-pop', 'pinoy singer-songwriter']",53
543f0NvGig5Moo9XROTUur,Ebe Dancel,136921,"['opm', 'pinoy rock']",50
2C9n4tQgNLhHPhSCmdsQnk,David Archuleta,519265,"['dance pop', 'idol', 'lds youth', 'post-teen pop', 'viral pop']",54
3l0CmX0FuQjFxr8SK7Vqag,Clairo,3809968,"['bedroom pop', 'indie pop', 'pop']",76
3paGCCtX1Xr4Gx53mSeZuQ,NCT U,3944878,"['k-pop', 'k-pop boy group']",64
4zrB9WV6Z0iKKnGb1Pj0P2,AJ Rafael,155025,['viral pop'],50
0qlWcS66ohOIi0M8JZwPft,GFRIEND,1497534,"['k-pop', 'k-pop girl group']",61
1r4hJ1h58CWwUQe3MxPuau,Maluma,33559980,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",85
6YVMFz59CuY7ngCxTxjpxE,aespa,2966100,['k-pop girl group'],72
20DZAfCuP1TKZl5KcY7z3Q,SLANDER,401118,"['dubstep', 'edm', 'pop dance', 'tropical house']",68
2JyNzzFJh2wkkZo7ZjMSs2,JM Bales,9034,[],37
50ifAXDdkDGG0RTON2If8K,Slapshock,179152,"['opm', 'pinoy metal', 'pinoy rock']",46
5t5FqBwTcgKTaWmfEbwQY9,ENHYPEN,5302092,"['anime', 'k-pop boy group']",75
6iVo62B0bdTknRcrktCmak,KAI,967751,['k-pop'],71
7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,3923680,['basshall'],74
7MmIC8lbUdmL6c05M63KF6,The Rossman Ensemble,168,[],12
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,4472663,"['australian hip hop', 'pop']",83
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,9068952,"['dance pop', 'pop']",78
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",3836399,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']",73
0bBz5bRBkExaej2HxtVfCw,347aidan,415451,['sad rap'],68
05YVYeV4HxYp5rrWalvuE1,"Grover Washington, Jr.",291665,['smooth jazz'],64
